Number,Name,Image Link,Type,Rarity,Set,Back Image Link,Traits,Intercept,Force,Green Energy,Yellow Energy,Red Energy,Rules Text,Flavor Text,Obtained Via,Description,ChamberFrontI,ChamberFrontF,ChamberFrontG,ChamberFrontY,ChamberFrontR,ChamberFrontRul,ChamberFrontFlav,ChamberBackI,ChamberBackF,ChamberBackG,ChamberBackY,ChamberBackR,ChamberBackRul,ChamberBackFlav
69,Falling Leaf Ambush,https://github.com/zolodio/Avatar-TCG-Database/raw/main/69.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,6,4,1,2,,"Red, Green → +2 Intercept and +2 Force. Use only once.","""Man! Why don't we ever look up?"" -Mu Ki, Fire Nation Soldier","STRT001, STRT002, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
70,Knuckle Sandwich,https://github.com/zolodio/Avatar-TCG-Database/raw/main/70.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,6,4,2,1,,,"""I knew we couldn't trust you, Jet!""","STRT001, STRT002, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
71,Kyoshi Backhand,https://github.com/zolodio/Avatar-TCG-Database/raw/main/71.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,4,4,,,1,"When you counterattack, your opponent eliminates one of his or her energy.","""You must think of the fan as an extension of your arm.""","STRT001, STRT004, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
72,Kyoshi Fan Parry,https://github.com/zolodio/Avatar-TCG-Database/raw/main/72.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,7,2,2,,1,Reflip: Green (You may pay a green energy to discard this card and flip a new one in this zone.),"""It's not about strength. Our technique is about using your opponents' force against them.""","STRT001, STRT004, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
73,Kyoshi Fan Throw,https://github.com/zolodio/Avatar-TCG-Database/raw/main/73.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,5,4,3,,,"When you counterattack, you may move one of your green energy to your yellow zone.","Never make fun of Kyoshi methods, unless you like being humiliated.","STRT001, STRT004, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
74,Kyoshi Pride,https://github.com/zolodio/Avatar-TCG-Database/raw/main/74.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,5,5,,2,,Reflip: Green (You may pay a green energy to discard this card and flip a new one in this zone.),"The warriors of Kyoshi follow tradition, wearing ornate armor and face paint.","STRT001, STRT002, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
75,Pummel,https://github.com/zolodio/Avatar-TCG-Database/raw/main/75.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,4,4,2,,,Green → +1 Intercept. Use only once.,,"STRT001, STRT002, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
76,Seize the Moment,https://github.com/zolodio/Avatar-TCG-Database/raw/main/76.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,2,6,1,,,Reflip: Green (You may pay a green energy to discard this card and flip a new one in this zone.),"Timing is everything. Spring a second too soon or too late, and your attack will fail.","STRT001, STRT002, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
77,Skewer,https://github.com/zolodio/Avatar-TCG-Database/raw/main/77.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,3,6,,1,,,"Hooked swords are dangerous and rarely seen, much like Jet himself.","STRT001, STRT002, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
78,Snapped Off,https://github.com/zolodio/Avatar-TCG-Database/raw/main/78.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,8,4,1,1,1,,"What the spear lacks in subtlety, it more than makes up for in sharpness.","STRT001, STRT002, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
79,Tremor Trail,https://github.com/zolodio/Avatar-TCG-Database/raw/main/79.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,5,6,1,2,,,Every Earthbender carries in his heart the power to shake the world.,"STRT001, STRT004, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
80,Will of the Warrior,https://github.com/zolodio/Avatar-TCG-Database/raw/main/80.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,4,7,3,,1,,"Sokka hates trouble, but he'll brave anything to help his friends.","STRT001, STRT002, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
81,Churning Stomachs,https://github.com/zolodio/Avatar-TCG-Database/raw/main/81.jpg,advantage,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,body,,,2,,,Your opponent's strikes cost an additional yellow energy to play.,One of Kinto's favorite pranks is to slosh his victims' insides.,"STRT001, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
82,Crystal Rampart,https://github.com/zolodio/Avatar-TCG-Database/raw/main/82.jpg,advantage,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,body,,,,,1,Your strikes have +2 Intercept.,"""Missed me! Missed me!""","STRT001, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
83,Dive for Cover,https://github.com/zolodio/Avatar-TCG-Database/raw/main/83.jpg,advantage,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,body,,,1,,,Your strikes have +1 Intercept while in one of your charged zones.,"To an Earthbender, the best way out is ""down.""","STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
84,Flopsie Flop,https://github.com/zolodio/Avatar-TCG-Database/raw/main/84.jpg,advantage,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,body,,,1,1,,Your opponent cannot focus or pitch.,"""That's a good boy! Yes, oh, that's a soft belly!""","STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
85,Immobilize,https://github.com/zolodio/Avatar-TCG-Database/raw/main/85.jpg,advantage,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,body,,,1,,,"While your opponent is defending, his or her zones cannot be charged.","""Welcome to life in a fishbowl, Aang!""","STRT001, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
86,Misdirection,https://github.com/zolodio/Avatar-TCG-Database/raw/main/86.jpg,advantage,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,body,,,2,,,Your opponent skips defending in his or her green zone.,"As an orphan, Malu spent the first years of the War alone in the forest.","STRT001, STRT006, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
87,Riding the Crest,https://github.com/zolodio/Avatar-TCG-Database/raw/main/87.jpg,advantage,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,body,,,1,,,"While your opponent is defending in his or her green zone, your strikes have +2 Force.",Kinto is a braggart and show-off. He uses Waterbending to make himself look cool.,"STRT001, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
88,Stand Firm,https://github.com/zolodio/Avatar-TCG-Database/raw/main/88.jpg,advantage,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,body,,,2,,,Your strikes have +1 Intercept and +1 Force while in one of your charged zones.,"Stand too close, and you'll be picking pebbles out of your teeth for weeks.","STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
89,Take the High Ground,https://github.com/zolodio/Avatar-TCG-Database/raw/main/89.jpg,advantage,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,body,,,1,,,Your strikes have +1 Force while in one of your charged zones.,"""You thought I was a frail old man, but I'm the most powerful Earthbender you'll ever see!""","STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
90,Ward Off,https://github.com/zolodio/Avatar-TCG-Database/raw/main/90.jpg,advantage,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,body,,,1,,,"While your opponent is defending, your zones cannot be uncharged, and your allies cannot be moved or eliminated.",Some say that Malu's spirit still protects the forest she loved.,"STRT001, STRT006, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
91,Charisma,https://github.com/zolodio/Avatar-TCG-Database/raw/main/91.jpg,advantage,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,mind,,,3,,,Immediate — Your opponent moves one of his or her allies to one of your empty ally spaces.,"""My name is Jet, and these are my freedom fighters. You should fit right in.""","STRT001, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
92,Contemplate,https://github.com/zolodio/Avatar-TCG-Database/raw/main/92.jpg,advantage,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,mind,,,1,,,Immediate — Look at the top two cards of your deck. Put them back in any order.,"""We can't concern ourselves with what was. We must act on what is.""","STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
93,Incinerate,https://github.com/zolodio/Avatar-TCG-Database/raw/main/93.jpg,advantage,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,mind,,,1,,,Immediate — Your opponent turns the top card of his or her deck face up. You may have your opponent put that card into his or her discard pile.,"""The only thing better than burning this is knowing how desperately you wanted it.""","STRT001, STRT010, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
94,Meditate,https://github.com/zolodio/Avatar-TCG-Database/raw/main/94.jpg,advantage,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,mind,,,2,,,Immediate — Look at the top three cards of your deck. Put them back in any order.,"""Large deeds are accomplished by completing many small tasks.""","STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
95,Pai Sho Mastery,https://github.com/zolodio/Avatar-TCG-Database/raw/main/95.jpg,advantage,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,mind,,,1,,,"While Pai Sho Mastery is in your advantage area, your cards have ""Reflip: Eliminate Pai Sho Mastery.""","""Most think the Lotus Tile insignificant, but it is essential for the unusual strategy that I employ.""","STRT001, STRT008, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
96,Run the Blockade,https://github.com/zolodio/Avatar-TCG-Database/raw/main/96.jpg,advantage,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,mind,,,1,,,Immediate — You may move any player's ally to one of that player's empty ally spaces.,,"STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
97,Sculpted Flame,https://github.com/zolodio/Avatar-TCG-Database/raw/main/97.jpg,advantage,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,mind,,,1,,,"As you play Sculpted Flame, choose one: Your strikes have +1 Intercept and -1 Force; or your strikes have -1 Intercept and +1 Force.",,"STRT001, STRT008, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
98,Training Scroll,https://github.com/zolodio/Avatar-TCG-Database/raw/main/98.jpg,advantage,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,mind,,,1,,,"Whenever you flip a card, turn the top card of your deck face up.","""Check out my new moves!""","STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
99,Water Kata,https://github.com/zolodio/Avatar-TCG-Database/raw/main/99.jpg,advantage,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,mind,,,,1,,"When you counterattack, you may uncharge one of your zones. If you do, charge one of your zones.",Water hides its strength well. Bending is just a matter of convincing it to show off.,"STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
100,Yip Yip!,https://github.com/zolodio/Avatar-TCG-Database/raw/main/100.jpg,advantage,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,mind,,,1,1,,Immediate — You are now defending up one zone. (Charge the zone in which you played this advantage.),"""Walking stinks. How do people go anywhere without a flying bison?""","STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
101,Bad Breath,https://github.com/zolodio/Avatar-TCG-Database/raw/main/101.jpg,advantage,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,spirit,,,,1,,"Immediate — If this zone is already charged, you may uncharge any zone.","History records that in the War's fifth year, Fire Lord Sozin had Afiko executed as a traitor.","STRT001, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
102,Channel the Winds,https://github.com/zolodio/Avatar-TCG-Database/raw/main/102.jpg,advantage,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,spirit,,,3,,,Immediate — You may charge any zone. (You also charge this zone as normal.),,"STRT001, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
103,Dust Storm,https://github.com/zolodio/Avatar-TCG-Database/raw/main/103.jpg,advantage,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,spirit,,,2,,,"When you counterattack, add a yellow energy.","Concealed by the swirling cloud, Aang has time to gather his chi.","STRT001, STRT002, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
104,Expendable Troops,https://github.com/zolodio/Avatar-TCG-Database/raw/main/104.jpg,advantage,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,spirit,,,1,,,"Immediate — You may eliminate one of your allies. If you do, eliminate one of your opponent's allies.","""Bring me the Avatar, or don't bother coming back!""","STRT001, STRT007, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
105,Fiery Temper,https://github.com/zolodio/Avatar-TCG-Database/raw/main/105.jpg,advantage,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,spirit,,,1,1,,Reflip: Green | Immediate — You may eliminate an ally.,"""You'd better learn some respect, Lieutenant, or I will teach it to you.""","STRT001, STRT007, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
106,Flying Staff Technique,https://github.com/zolodio/Avatar-TCG-Database/raw/main/106.jpg,advantage,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,spirit,,,2,,,"Immediate — If this zone is already charged, you may charge any zone.",,"STRT001, STRT002, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
107,Glorious Feast,https://github.com/zolodio/Avatar-TCG-Database/raw/main/107.jpg,advantage,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,spirit,,,3,,,Immediate — Add a red energy.,"""Let us leave!"" ""Lettuce leaf?""","STRT001, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
108,Head Over Heels,https://github.com/zolodio/Avatar-TCG-Database/raw/main/108.jpg,advantage,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,spirit,,,1,1,,Reflip: Green | Immediate — You may uncharge any zone.,"""Sorry, boys. Didn't mean to knock you off your feet.""","STRT001, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
109,Highway Robbery,https://github.com/zolodio/Avatar-TCG-Database/raw/main/109.jpg,advantage,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,spirit,,,1,,,"When your opponent counterattacks from his or her green zone, you add two green energy.","""Make with the cabbages! This rock's awfully heavy, and I'd hate for something bad to happen.""","STRT001, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
110,Volcanic Fountain,https://github.com/zolodio/Avatar-TCG-Database/raw/main/110.jpg,advantage,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,spirit,,,1,,,"Immediate — You may eliminate an energy in this zone. If you do, eliminate one of your opponent's energy of the same color.",,"STRT001, STRT007, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
111,Bonzu Pippinpaddle-Oppsokopolis III,https://github.com/zolodio/Avatar-TCG-Database/raw/main/111.jpg,advantage,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,,,1,Immediate — Your opponent uncharges one of his or her zones.,"""You'd be surprised how easy it is to trick people into letting their guard down.""","STRT001, STRT002, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
112,Caution to the Wind,https://github.com/zolodio/Avatar-TCG-Database/raw/main/112.jpg,advantage,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,1,,,Your strikes have -1 Intercept and +1 Force.,"""Bumi, you're a mad genius!""","STRT001, STRT002, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
113,Closed-Hand Form,https://github.com/zolodio/Avatar-TCG-Database/raw/main/113.jpg,advantage,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,,1,,Your strikes have +1 Force.,"The Closed Hand moves against the enemy, forcing him to reveal his weakness.","STRT001, STRT007, STRT008, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
114,Lifesaver,https://github.com/zolodio/Avatar-TCG-Database/raw/main/114.jpg,advantage,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,1,,,Your strikes have +1 Intercept in your red zone.,"""Aang saved our tribe. Now I have to save him.""","STRT001, STRT002, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
115,Open-Hand Form,https://github.com/zolodio/Avatar-TCG-Database/raw/main/115.jpg,advantage,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,,1,,Your strikes have +1 Intercept.,The Open Hand moves with the enemy until he reveals his weakness.,"STRT001, STRT002, BSTR001, BSTR002, BSTR003, BSTR004, XPS001",,,,,,,,,,,,,,,
116,Roku's Guidance,https://github.com/zolodio/Avatar-TCG-Database/raw/main/116.jpg,advantage,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,1,,,Immediate — Look at the top card of your deck. You may put it into your discard pile.,"""I am a part of you. When you need my help you will know how to find it.""","STRT001, STRT002, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
117,Sustenance,https://github.com/zolodio/Avatar-TCG-Database/raw/main/117.jpg,advantage,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,2,1,,Immediate — Add a red energy.,"""Can't talk. Must eat.""","STRT001, STRT002, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
118,Take Them Away,https://github.com/zolodio/Avatar-TCG-Database/raw/main/118.jpg,advantage,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,,,,,1,Immediate — Your opponent eliminates one of his or her allies.,"The prison rig is a cruel place where Earthbenders are locked away, never to return.","STRT001, STRT009, STRT010, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
119,"Aang, the last airbender",https://github.com/zolodio/Avatar-TCG-Database/raw/main/119.jpg,ally,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,light,,,,,1,"In Aang's zone, your strikes have +1 Intercept.","""Love each other, respect all life, and don't run with your spears."" ","STRT001, STRT002, STRT003, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
120,"Appa, flying bison",https://github.com/zolodio/Avatar-TCG-Database/raw/main/120.jpg,ally,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,light,,,1,1,,"Whenever you flip a card in Appa's zone, you may swap Appa with an ally in one of your other zones.","""He's a gigantic, fluffy monster with an arrow on his head. It's kinda hard to miss him.""","STRT001, STRT002, STRT003, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
121,"Katara, waterbender in training",https://github.com/zolodio/Avatar-TCG-Database/raw/main/121.jpg,ally,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,light,,,1,,,"Yellow → When you counterattack from Katara's zone, charge this zone. Use only once per turn.","""Come on, water! Work with me here!""","STRT001, STRT002, STRT003, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
122,"King Bumi, rudder of Omashu",https://github.com/zolodio/Avatar-TCG-Database/raw/main/122.jpg,ally,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,light,,,2,,,"In King Bumi's zone, your strikes have ""Whenever your opponent focuses, this strike gets +1 Force while it's in King Bumi's zone.""","""There are no take-backsies in my kingdom.""","STRT001, STRT002, STRT003, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
123,"Momo, hungry lemur",https://github.com/zolodio/Avatar-TCG-Database/raw/main/123.jpg,ally,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,light,,,1,,,"When you counterattack from Momo's zone, each player adds a green energy.",,"STRT001, STRT002, STRT003, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
124,"Monk Gyatso, Aang's mentor",https://github.com/zolodio/Avatar-TCG-Database/raw/main/124.jpg,ally,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,light,,,1,,,"Whenever you flip a card in Monk Gyatso's zone, turn the top card of your deck face up.","""Just because you grow up doesn't mean you have to stop having fun.""","STRT001, STRT002, STRT003, STRT004, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
125,"Jet, ruthless rebel",https://github.com/zolodio/Avatar-TCG-Database/raw/main/125.jpg,ally,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,shadow,,,1,,,"When you counterattack from Jet's zone, each player eliminates one of his or her allies.","""We can't win without making some sacrifices.""","STRT001, STRT005, STRT006, STRT007, STRT008, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
126,"Jojo, the kissing bandit",https://github.com/zolodio/Avatar-TCG-Database/raw/main/126.jpg,ally,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,shadow,,,,2,,"Reflip: Green | When you counterattack from Jojo's zone, eliminate one of your opponent's green energy, and you add a green energy.",,"STRT001, STRT005, STRT006, STRT007, STRT008, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
127,"Malu, a reclusive orphan",https://github.com/zolodio/Avatar-TCG-Database/raw/main/127.jpg,ally,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,shadow,,,1,,,"Two Green → In Malu's zone, your strikes have ""Your opponent skips defending in his or her green zone.""","""Malu's parents, Airbender monks, were among the War's first casualties.""","STRT001, STRT005, STRT006, STRT007, STRT008, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
128,"Pirate Captain, shady trader",https://github.com/zolodio/Avatar-TCG-Database/raw/main/128.jpg,ally,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,shadow,,,1,,,"When you counterattack from Pirate Captain's zone, look at the top card of your deck. You may put it into your discard pile.","""We prefer to think of ourselves as high-risk traders.""","STRT001, STRT005, STRT006, STRT007, STRT008, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
129,"Prince Zuko, exile",https://github.com/zolodio/Avatar-TCG-Database/raw/main/129.jpg,ally,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,shadow,,,1,,,"Eliminate an energy in Prince Zuko's zone → When you counterattack from Prince Zuko's zone, eliminate an energy of the same color. Use only once per turn.",,"STRT001, STRT005, STRT006, STRT007, STRT008, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
130,"Uncle Iroh, Zuko's mentor",https://github.com/zolodio/Avatar-TCG-Database/raw/main/130.jpg,ally,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,shadow,,,,,1,"Whenever you would flip a card in Uncle Iroh's zone, you may first look at the top two cards of your deck. If you do, put them back in any order.",,"STRT001, STRT005, STRT006, STRT007, STRT008, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
131,"Afiko, bringer of ill winds",https://github.com/zolodio/Avatar-TCG-Database/raw/main/131.jpg,ally,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,dark,,,1,1,,"When you counterattack from Afiko's zone, you may eliminate one of your allies. If you do, your opponent charges one of your zones.","Before the War began, Afiko was a traitorous monk living in the Southern Air Temple.","STRT001, STRT009, STRT010, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
132,"Commander Zhao, ambitious leader",https://github.com/zolodio/Avatar-TCG-Database/raw/main/132.jpg,ally,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,dark,,,1,1,,Your strikes in Commander Zhao's zone have +1 Force.,"""We are the sons and daughters of fire, the superior element!""","STRT001, STRT009, STRT010, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
133,"Fire Nation Elite, hardened troops",https://github.com/zolodio/Avatar-TCG-Database/raw/main/133.jpg,ally,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,dark,,,,1,,"When you counterattack from Fire Nation Elite's zone, your opponent turns the top card of his or her deck face up. You may have your opponent put that card into his or her discard pile.",,"STRT001, STRT009, STRT010, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
134,"Kinto, cruel trickster",https://github.com/zolodio/Avatar-TCG-Database/raw/main/134.jpg,ally,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,dark,,,,1,,"When you counterattack from Kinto's zone, you may eliminate one of your allies. If you do, your opponent uncharges one of his or her zones.",Kinto was once shunned by the Northern Water Tribe for his mean-spirited and manipulative pranks.,"STRT001, STRT009, STRT010, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
135,"Prison Warden, breaker of spirits",https://github.com/zolodio/Avatar-TCG-Database/raw/main/135.jpg,ally,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,dark,,,1,,,"Red → When you counterattack from Prison Warden's zone, your opponent eliminates one of his or her allies. Use only once per turn.","""I prefer to think of you not as prisoners, but as honored guests.""","STRT001, STRT009, STRT010, STRT011, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
